year,event_type,gender,max_results_score,all_time_rank,event,category,event_rank,mark,competitor,nat,pos,date,venue,age,year_of_birth,event_name,environment,age_category
1964,sprints,women,1106.0,,Women's 100m,Outdoor U20 - Women,1288,11.44,Wyomia TYUS,USA,1qf1,1964-10-15,"National Stadium, Tokyo (JPN)",19.0,1945.0,100-metres,outdoor,u20
1965,sprints,women,1141.0,303958.0,Women's 200m,Outdoor Senior - Women,6454,22.94,Irena KIRSZENSTEIN,POL,1,1965-08-08,Warszawa (POL),19.0,1946.0,200-metres,outdoor,senior
1965,sprints,women,1141.0,303958.0,Women's 200m,Outdoor U20 - Women,295,22.94,Irena KIRSZENSTEIN,POL,1,1965-08-08,Warszawa (POL),19.0,1946.0,200-metres,outdoor,u20
1966,sprints,men,1162.0,179618.0,Men's 400m,Outdoor Senior - Men,5040,45.25,Tommie SMITH,USA,1,1966-08-20,London (GBR),22.0,1944.0,400-metres,outdoor,senior
1967,sprints,men,1205.0,39769.0,Men's 400m,Outdoor Senior - Men,936,44.74,Tommie SMITH,USA,,1967-05-20,San José (USA),23.0,1944.0,400-metres,outdoor,senior
1967,sprints,women,1141.0,303958.0,Women's 200m,Outdoor Senior - Women,6454,22.94,Irena KIRSZENSTEIN,POL,1,1967-07-02,Katowice (POL),21.0,1946.0,200-metres,outdoor,senior
1968,sprints,men,1260.0,2607.0,Men's 400m,Outdoor Senior - Men,48,43.86,Lee EVANS,USA,1,1968-10-18,"Estadio Olímpico, Ciudad de México (MEX)",21.0,1947.0,400-metres,outdoor,senior
1968,sprints,women,1182.0,96417.0,Women's 100m,Outdoor Senior - Women,2567,11.08,Wyomia TYUS,USA,1,1968-10-15,"Estadio Olímpico, Ciudad de México (MEX)",23.0,1945.0,100-metres,outdoor,senior
1969,sprints,men,1205.0,39769.0,Men's 400m,Outdoor Senior - Men,936,44.74,Lee EVANS,USA,1,1969-09-12,"South Lake Tahoe, CA (USA)",22.0,1947.0,400-metres,outdoor,senior
1969,sprints,women,1134.0,342388.0,Women's 300m,Outdoor Senior - Women,106,36.74,Sylviane TELLIEZ,FRA,1,1969-07-19,Paris (FRA),27.0,1942.0,300-metres,outdoor,senior
1970,sprints,men,1179.0,106819.0,Men's 400m,Outdoor Senior - Men,2779,45.01,Charles ASATI,KEN,1,1970-07-23,Edinburgh (GBR),24.0,1946.0,400-metres,outdoor,senior
1970,sprints,women,1171.0,137287.0,Women's 200m,Outdoor Senior - Women,2614,22.64,Cheng CHI,TPE,1,1970-07-12,München (GER),26.0,1944.0,200-metres,outdoor,senior
1971,sprints,men,1242.0,6596.0,Men's 200m,Outdoor Senior - Men,191,19.86,Don QUARRIE,JAM,1,1971-08-03,Cali (COL),20.0,1951.0,200-metres,outdoor,senior
1971,sprints,women,1165.0,165123.0,Women's 200m,Outdoor Senior - Women,3173,22.7,Renate MEISSNER-STECHER,GDR,1,1971-08-13,"Olympiastadion, Helsinki (FIN)",21.0,1950.0,200-metres,outdoor,senior
1972,sprints,men,1233.0,10636.0,Men's 400m,Outdoor Senior - Men,232,44.34,Wayne COLLETT,USA,1,1972-07-09,"Eugene, OR (USA)",23.0,1949.0,400-metres,outdoor,senior
1972,sprints,women,1196.0,56932.0,Women's 200m,Outdoor Senior - Women,1187,22.4,Renate STECHER,GDR,1,1972-09-07,"Olympiastadion, München (GER)",22.0,1950.0,200-metres,outdoor,senior
1973,sprints,men,1178.0,111673.0,Men's 100m,Outdoor Senior - Men,4236,10.1,Hans-Jürgen BOMBACH,GDR,2,1973-08-29,Berlin (GER),28.0,1945.0,100-metres,outdoor,senior
